0.016384,26.306448,26.328554,0.000000
0.024576,26.322294,26.328115,0.000000
0.032768,26.443777,26.336212,0.000000
0.040960,26.158554,26.323776,0.000000
0.049152,26.330217,26.324226,0.000000
0.057344,26.364550,26.327049,0.000000
0.065536,26.301165,26.325237,0.000000
0.073728,26.208733,26.317083,0.000000
0.081920,26.116299,26.303028,0.000000
0.090112,26.335497,26.305302,0.000000
0.098304,26.166477,26.295584,0.000000
0.106496,26.250988,26.292461,0.000000
0.114688,26.287960,26.292147,0.000000
0.122880,26.208733,26.286308,0.000000
0.131072,26.200809,26.280323,0.000000
0.139264,26.277397,26.280119,0.000000
0.147456,26.245705,26.277710,0.000000
0.155648,26.264193,26.276764,0.000000
0.163840,26.116299,26.265532,0.000000
0.172032,25.952560,26.243624,0.000000
0.180224,26.002739,26.226763,0.000000
0.188416,26.010662,26.211636,0.000000
0.196608,25.989534,26.196089,0.000000
0.204800,25.833719,26.170723,0.000000
0.212992,25.736004,26.140291,0.000000
0.221184,25.706953,26.109957,0.000000
0.229376,25.722799,26.082857,0.000000
0.237568,25.622444,26.050629,0.000000
0.245760,25.635647,26.021580,0.000000
0.253952,25.556419,25.989019,0.000000
0.262144,25.186686,25.932856,0.000000
0.270336,25.429655,25.897631,0.000000
0.278528,25.231583,25.851007,0.000000
0.286720,25.226303,25.807278,-0.911934
0.294912,25.186686,25.763836,-0.911934
0.303104,24.925234,25.705133,-0.911934
0.311296,25.287043,25.675867,-0.911934
0.319488,25.025589,25.630348,-0.911934
0.327680,25.038795,25.588940,-0.911934
0.335872,25.250071,25.565220,-0.911934
0.344064,25.001822,25.525782,-0.911934
0.352256,24.838081,25.477642,-0.911934
0.360448,24.909389,25.437866,-0.911934
0.368640,25.228941,25.423241,-0.911934
0.376832,25.036154,25.396145,-0.911934
0.385024,25.017666,25.369652,-0.911934
0.393216,24.927874,25.338728,-0.911934
0.401408,25.244787,25.332153,-0.911934
0.409600,25.405884,25.337315,-0.911934
0.417792,24.798468,25.299597,-0.911934
0.425984,25.102177,25.285778,-0.911934
0.434176,25.371553,25.291782,-0.911934
0.442368,24.827520,25.259285,-0.911934
0.450560,25.041435,25.244036,-0.911934
0.458752,25.252710,25.244642,-0.911934
0.466944,25.342503,25.251493,-0.911934
0.475136,24.949003,25.230318,-0.911934
0.483328,24.978052,25.212658,-0.911934
0.491520,25.160278,25.208992,-0.911934
0.499712,24.917313,25.188574,-0.911934
0.507904,24.814314,25.162374,-0.911934
0.516096,25.379477,25.177572,-0.911934
0.524288,25.186686,25.178209,-0.911934
0.532480,25.057280,25.169744,-0.911934
0.540672,25.147072,25.168156,-0.911934
0.548864,25.131227,25.165571,-0.911934
0.557056,25.265917,25.172596,-0.911934
0.565248,25.136511,25.170071,-0.911934
0.573440,25.284401,25.178072,-1.553215
0.581632,24.888260,25.157785,-1.553215
0.589824,25.022949,25.148346,-1.553215
0.598016,25.078409,25.143452,-1.553215
0.606208,24.922592,25.127991,-1.553215
0.614400,25.065203,25.123596,-1.553215
0.622592,25.075768,25.120249,-1.553215
0.630784,25.028231,25.113808,-1.553215
0.638976,25.091614,25.112253,-1.553215
0.647168,25.141790,25.114321,-1.553215
0.655360,25.231583,25.122530,-1.553215
0.663552,25.075768,25.119257,-1.553215
0.671744,25.139149,25.120649,-1.553215
0.679936,25.067844,25.116953,-1.553215
0.688128,25.273840,25.127935,-1.553215
0.696320,25.231583,25.135191,-1.553215
0.704512,25.017666,25.126965,-1.553215
0.712704,24.938438,25.113768,-1.553215
0.720896,25.334579,25.129225,-1.553215
0.729088,24.869774,25.111065,-1.553215
0.737280,25.292324,25.123753,-1.553215
0.745472,25.184048,25.127972,-1.553215
0.753664,24.819597,25.106386,-1.553215
0.761856,25.223661,25.114595,-1.553215
0.770048,24.848646,25.095978,-1.553215
0.778240,25.255352,25.107134,-1.553215
0.786432,25.162918,25.111038,-1.553215
0.794624,24.980694,25.101913,-1.553215
0.802816,24.890902,25.087143,-1.553215
0.811008,25.099535,25.088011,-1.553215
0.819200,24.991257,25.081238,-1.553215
0.827392,25.191969,25.088989,-1.553215
0.835584,24.912029,25.076601,-1.553215
0.843776,24.980694,25.069887,-1.553215
0.851968,25.297607,25.085827,-1.553215
0.860160,24.954285,25.076618,-0.953529
0.868352,25.197250,25.085062,-0.953529
0.876544,25.065203,25.083672,-0.953529
0.884736,25.075768,25.083118,-0.953529
0.892928,25.075768,25.082605,-0.953529
0.901120,24.954285,25.073622,-0.953529
0.909312,25.088972,25.074696,-0.953529
0.917504,25.102177,25.076620,-0.953529
0.925696,24.867134,25.061956,-0.953529
0.933888,25.036154,25.060150,-0.953529
0.942080,25.170841,25.067900,-0.953529
0.950272,25.075768,25.068451,-0.953529
0.958464,25.096893,25.070442,-0.953529
0.966656,24.983334,25.064344,-0.953529
0.974848,25.160278,25.071060,-0.953529
0.983040,25.215738,25.081188,-0.953529
0.991232,25.384758,25.102438,-0.953529
0.999424,25.329298,25.118319,-0.953529
1.007616,25.194609,25.123659,-0.953529
1.015808,25.173483,25.127148,-0.953529
1.024000,25.178764,25.130762,-0.953529
1.032192,25.287043,25.141701,-0.953529
1.040384,25.194609,25.145405,-0.953529
1.048576,25.078409,25.140717,-0.953529
1.056768,25.347786,25.155212,-0.953529
1.064960,25.318733,25.166658,-0.953529
1.073152,25.284401,25.174900,-0.953529
1.081344,25.519447,25.199018,-0.953529
1.089536,25.284401,25.204994,-0.953529
1.097728,25.669979,25.237543,-0.953529
1.105920,25.469269,25.253763,-0.953529
